"username","noedits","itemdiv","oldedit","editratio","bot_label","anon_label","nopropedits","noontoedit"
"ValterVBot",991035,297687,149581762,3.3291174958933376,"1","0",,1361666
"Harej",905295,39448,94974808,22.949072196309064,"0","0",27,209179
"BotNinja",715997,291377,88480913,2.457287294467305,"1","0",,68143
"SuccuBot",686306,51627,125841978,13.293547949716233,"1","0",,1465487
"Emijrpbot",581490,335131,20342417,1.735112538082123,"1","0",,17682
"Dexbot",568075,220459,143414318,2.5767829845912393,"1","0",3,1960961
"Edoderoobot",556098,375552,63085399,1.4807483384458078,"1","0",,206284
"Liangent-bot",543091,42729,133491909,12.710126611902924,"1","0",1,12721
"KrBot",419394,160170,142324612,2.6184304176812137,"1","0",54154,876956
"EloBot",366830,1439,31719696,254.9200833912439,"1","0",,
"MicrobeBot",336379,30567,57895941,11.004645532764092,"1","0",,2029098
"Research Bot",303826,22905,30014339,13.264614712944772,"1","0",,7041064
"PLbot",289201,164196,142401879,1.7613157445979195,"1","0",951,1035022
"Sk!dbot",263552,240969,151729618,1.093717449132461,"1","0",,507
"GZWDer (flood)",242583,171613,114867792,1.4135467592781432,"0","0",2702,763836
"KLBot2",241214,145366,145169185,1.659356383198272,"1","0",,39747
"BotMultichill",237505,72444,145595085,3.278463364805919,"1","0",,1297736
"Daniel Mietchen",207837,21995,150504873,9.449283928165492,"0","0",96,267865
"Աշբոտ",201488,201487,33909062,1.0000049630993564,"1","0",,2
"ThieolBot",178530,165136,149047823,1.0811089041759518,"1","0",3,2
"Legobot",176337,88613,148152929,1.9899676119756695,"1","0",,244175
"Jura1",169013,83105,109528681,2.033728415859455,"0","0",4296,477299
"QuickStatementsBot",163585,48608,24887001,3.3653925279789334,"1","0",,179366
"Nikosguard",162226,109762,146483415,1.4779796286510813,"0","0",1296,26294
"EmausBot",158962,72289,140754109,2.1989790977880452,"1","0",,
"Reinheitsgebot",149207,57638,107518958,2.588691488254277,"1","0",87,731586
"ProteinBoxBot",138010,22350,129374652,6.174944071588367,"1","0",,2830503
"RobotMichiel1972",130144,86965,143310610,1.496510090266199,"1","0",113,854006
"Harmonia Amanda",127385,10900,143371880,11.686697247706421,"0","0",86,35293
"Mr.Ibrahembot",119463,79428,95420086,1.504041395981266,"1","0",,731853
"JhsBot",114000,23890,100365014,4.771871075763918,"1","0",,8887
"Florentyna",105202,1457,145895071,72.20452985586822,"0","0",4,58250
"Mahir256",88375,79235,129670809,1.1153530636713573,"0","0",427,44999
"ReimannBot",86097,13998,135001077,6.150664380625804,"1","0",,283185
"Succu",77726,20307,143947138,3.8275471512286403,"0","0",563,69891
"Ra-bot-nik",77234,5006,150037487,15.428286056731922,"1","0",,2886
"InwBot",76872,74769,86847253,1.028126630020463,"1","0",,38656
"SamoaBot",73785,24551,141610471,3.005376563072787,"1","0",,671
"Muhammad Abul-Futooh",73184,63440,82724337,1.15359394703657,"0","0",,76
"B0ttle",73154,3002,49518691,24.36842105263158,"1","0",,739
"Olaf Kosinsky",66639,6041,113643220,11.03112067538487,"0","0",3,588
"Sky xe",56933,42001,76149333,1.355515344872741,"0","0",,383
"KasparBot",53539,15831,85843649,3.3819089128924262,"1","0",,2216
"Frettiebot",52259,1571,98245230,33.26479949077021,"1","0",,113040
"Thierry Caro",48552,18633,146735613,2.6056995652873933,"0","0",5192,36640
"VIAFbot",47981,10188,141614534,4.709560266980762,"1","0",,
"AkkakkBot",47199,42312,109047556,1.1154991491775383,"1","0",,
"StrynBot",45039,41454,87649724,1.0864814010710668,"1","0",,48099
"Edoderoo",44020,25472,134546341,1.7281721105527639,"0","0",52,316463
"BeneBot*",43402,26694,150574865,1.6259084438450588,"0","0",,43568
"Mr. Ibrahem",42922,16647,142677858,2.5783624677119,"0","0",1692,43635
"Vesihiisi",42111,4213,142688071,9.995490149537147,"0","0",4,25415
"Innocent bystander",41171,10499,109001910,3.9214210877226403,"0","0",225,137936
"ShonagonBot",41115,8243,127437227,4.987868494480165,"1","0",,14975
"GerardM",40936,24128,139491482,1.6966180371352786,"0","0",41,352389
"Gbeckmann",39872,21894,111721061,1.8211382113821137,"0","0",319,60170
"Liridon",39099,38763,70113970,1.0086680597476976,"0","0",272,6626
"EdgarsBot",36949,22456,51876823,1.6453954399714998,"1","0",157,41774
"Edoardo88",36381,10942,78473397,3.324894900383842,"0","0",107,72402
"PoulpyBot",35393,5450,107590220,6.494128440366972,"1","0",,91584
"JAnDbot",34421,10517,144150233,3.272891508985452,"1","0",,161453
"Coyau",34376,11108,143310850,3.094706517824991,"0","0",76,75672
"AftabBot",32755,32755,1306001,1,"0","0",,
"MechQuesterBot",32090,16709,18732936,1.9205218744389252,"1","0",,1107
"Arpyia",31963,29564,146746636,1.0811459883642267,"0","0",45,99
"Hsarrazin",31962,15200,150204541,2.102763157894737,"0","0",55,67475
"CEM-air",31587,10575,102641201,2.986950354609929,"0","0",28,29361
"ValterVB",31522,7438,153201874,4.237967195482657,"0","0",281,62268
"GPUBot",30197,11284,117872595,2.676090038993265,"0","0",,3263
"Spinster",30152,5149,109326343,5.855894348417168,"0","0",33,12083
"MerlIwBot",29963,26644,151920697,1.1245683831256568,"1","0",,
"AyackBot",29399,10611,125146067,2.770615399114127,"1","0",,85803
"Lockal",28561,14612,108791097,1.954626334519573,"0","0",181,64076
"FischBot",28533,5908,142580641,4.829553148273527,"1","0",,4407
"ShinePhantom",26271,7602,148236185,3.455801104972376,"0","0",12,204012
"Romaine",25658,10912,150530622,2.3513563049853374,"0","0",1932,284609
"Aftabuzzaman",25105,16528,142044383,1.5189375605033881,"0","0",421,2220
"AudeBot",24470,8193,132781621,2.9866959599658243,"1","0",,2986
"Steenthbot",22845,10689,120476571,2.137243895593601,"1","0",,10915
"WikiDataMovieDB",22642,4900,44596560,4.620816326530612,"0","0",227,1411
"OceanAtoll",22492,22443,21922758,1.0021833088268057,"0","0",,71
"Rezabot",22484,12666,144328626,1.7751460603189642,"1","0",,9309
"Symac bot",22408,2204,92660091,10.166969147005444,"1","0",,5004
"Simon Villeneuve",22248,3163,135517764,7.033828643692697,"0","0",11,1976
"Pasleim",22051,14512,143980610,1.5195011025358325,"0","0",2048,145315
"CC0-JS",21872,21872,11098118,1,"0","0",,
"B.Zsolt",21323,13307,137668920,1.6023897196964003,"0","0",442,2279
"ԱշոտՏՆՂ",21093,17319,85652314,1.217910964836307,"0","0",54,45106
"Danrok",20818,10730,145076868,1.9401677539608575,"0","0",708,94791
"Jklamo",20202,7825,134355132,2.5817252396166133,"0","0",114,25356
"BotMultichillT",20030,5865,108530695,3.415174765558397,"1","0",,90682
"Lymantria",19868,9305,143969725,2.135196131112305,"0","0",1569,92717
"UnderlyingBot",19489,4893,113788173,3.9830369916206827,"1","0",,27113
"Geraki",19256,4029,134384378,4.779349714569372,"0","0",547,3414
"Queryzo",18804,7994,104083916,2.3522641981486117,"0","0",78,19720
"DavidMar86hdf",18414,11037,111547287,1.66838814895352,"0","0",19,28091
"Ghuron",17981,14400,144155713,1.2486805555555556,"0","0",139,54460
"McSearch",15667,4181,139396025,3.74718966754365,"0","0",12,10167
"Widar of zolo",15648,11926,107157857,1.3120912292470233,"1","0",,128963
"Cewbot",15418,10570,46164202,1.4586565752128666,"1","0",,566
"Xaris333",14501,2311,141271528,6.274772825616616,"0","0",174,36036
"DanmicholoBot",14387,5926,130571971,2.427775902801215,"1","0",11,1579
"Ary29",14148,5922,144754339,2.3890577507598785,"0","0",5,28078
"Mikey641Bot",13707,11869,23165617,1.1548571910017693,"1","0",,5694
"Haplology",13552,8002,146388584,1.693576605848538,"0","0",105,297547
"InkoBot",13360,6864,136728793,1.9463869463869463,"1","0",,60748
"XXN-bot",13261,11588,85137882,1.1443734898170521,"1","0",,74175
"MatSuBot",13241,5988,92309085,2.21125584502338,"1","0",1379,187911
"FShbib",13028,12158,116179804,1.0715578220101991,"0","0",44,11263
"M2k~dewiki",12881,3998,75480355,3.221860930465233,"0","0",5,38557
"HakanIST",12812,4720,61148085,2.714406779661017,"0","0",89,2581
"Nono314",12668,5651,77381632,2.241727127941957,"0","0",48,30076
"Magnus Manske",12309,9935,149653456,1.2389531957725215,"0","0",197,131561
"Laddo",12232,6872,142075855,1.779976717112922,"0","0",3496,61168
"Teolemon",11929,4971,128001312,2.39971836652585,"0","0",69,11683
"VIGNERON",11232,7247,138778550,1.5498827100869326,"0","0",123,9438
"TemirovBot",11174,1074,33482104,10.404096834264433,"1","0",,27861
"Drspiros",11050,2212,48297495,4.995479204339964,"0","0",4,3379
"Pigsonthewing-bot",10719,5924,71579552,1.8094193112761647,"1","0",18,1204
"KrattBot",10579,4891,129460678,2.16295236148027,"0","0",,3876
"Addbot",10554,6475,140837712,1.62996138996139,"1","0",,
"Чаховіч Уладзіслаў",10553,2413,146466278,4.373394115209283,"0","0",1531,19844
"Jon Harald Søby",10403,3138,146121555,3.3151688973868705,"0","0",608,18602
"Epìdosis",10197,4350,124632236,2.3441379310344828,"0","0",264,58560
"Fralambert",10157,1734,145654045,5.857554786620531,"0","0",1033,33638
"MechQuester",10156,7686,37096677,1.3213635180848295,"0","0",1,20977
"Sporti",10031,3741,143828227,2.681368618016573,"0","0",63,11782
"FocalPoint",10022,7755,142581042,1.292327530625403,"0","0",95,2049
"Shinnin",10021,6475,21507196,1.5476447876447876,"0","0",71,4293
"Kareyac",9733,4812,133551008,2.0226517040731506,"0","0",85,38116
"RobotGMwikt",9317,4944,129043315,1.8845064724919094,"0","0",1,249557
"ViscoBot",9316,3253,140366316,2.863818014140793,"1","0",,10517
"Pymouss",9113,8579,127199156,1.0622450169017368,"0","0",82,2677
"Infovarius",9026,4088,143610462,2.2079256360078277,"0","0",1160,111422
"Kemenymate",8924,598,135137277,14.923076923076923,"0","0",,4122
"JhealdBatch",8716,2952,59985364,2.9525745257452574,"1","0",,4459
"Nikki",8681,4436,132727966,1.9569431920649234,"0","0",480,72525
"Edgars2007",8559,4527,145210538,1.8906560636182903,"0","0",236,42976
"Sjoerddebruin",8556,4229,132076293,2.023173327027666,"0","0",2314,90232
"Ash Crow",8526,370,133794185,23.043243243243243,"0","0",82,8256
"PBot",8511,3684,138638283,2.310260586319218,"1","0",,25723
"Jheald",8401,6804,95095542,1.2347148736037625,"0","0",60,2732
"Holger1959",8287,2483,143972121,3.3374949657672173,"0","0",81,17065
"Yellowcard",8052,1964,63877760,4.09979633401222,"0","0",38,27567
"Dacoucou",7965,5339,107087513,1.491852406817756,"0","0",14,1130
"Rachmat04",7650,6349,55583968,1.2049141597101907,"0","0",176,1739
"Popcornbot",7555,6039,83707398,1.2510349395595297,"1","0",,97
"Poulpy",7415,1300,132834888,5.703846153846154,"0","0",91,9074
"Jobu0101",7364,1211,77815923,6.08092485549133,"0","0",12,555
"Multichill",7165,1776,142754862,4.034346846846847,"0","0",469,20431
"MineoBot",7093,3991,140092584,1.7772488098220998,"1","0",,
"Vojtěch Dostál",7084,1169,105443883,6.059880239520958,"0","0",36,22614
"Tamawashi",7071,4406,104738464,1.6048570131638675,"0","0",35,265927
"Mbch331",6716,4484,139049269,1.4977698483496877,"0","0",1040,4599
"ElphiBot",6644,5430,144058964,1.223572744014733,"1","0",,
"本日晴天",6627,5623,110901067,1.1785523741774853,"0","0",23,28636
"Tubezlob",6620,6053,62655300,1.0936725590616223,"0","0",1287,13161
"SLiuBot",6577,1399,143736348,4.701215153681201,"1","0",,
"NikkiBot",6567,2588,72523534,2.5374806800618237,"1","0",,1
"Nurni",6513,1505,102012956,4.327574750830565,"0","0",337,39749
"Andreasmperu",6476,1687,145391831,3.8387670420865443,"0","0",7254,27180
"MisterSynergy",6469,3398,143298528,1.9037669217186581,"0","0",3459,7000
"Aktron",6387,3136,116735270,2.036670918367347,"0","0",1,426
"Cavaliere grande",6301,3922,54285467,1.606578276389597,"0","0",16,25172
"J 1982",6087,2418,140398677,2.5173697270471465,"0","0",128,1733
"Addshore",5901,1381,146314626,4.272990586531499,"0","0",14,44407
"Chobot",5855,5816,117239973,1.0067056396148555,"1","0",,24
"BetaBot",5842,5391,146499762,1.0836579484325728,"1","0",,
"Jsamwrites",5832,1030,27928843,5.662135922330097,"0","0",1,16471
"A ver",5759,2936,46936824,1.9615122615803815,"0","0",5,11750
"Thomas11",5583,3518,116600724,1.5869812393405345,"0","0",87,104159
"Jane023",5470,1132,150480468,4.832155477031802,"0","0",63,6859
"P.a.a",5456,2931,87818912,1.8614807233026271,"0","0",3,126
"Innotata",5424,2865,136773492,1.8931937172774869,"0","0",23,12427
"Movses",5398,2713,110431627,1.989679321784003,"0","0",2,5239
"Mathieudu68",5388,4816,137057624,1.1187707641196014,"0","0",13,5100
"Ainali",5338,1432,134019007,3.727653631284916,"0","0",132,11328
"Charles Matthews",5244,2136,118250194,2.455056179775281,"0","0",13,14436
"SR5",5244,2307,53346009,2.2730819245773732,"0","0",333,11932
"Gzen92",5226,2044,106064137,2.556751467710372,"0","0",5,8076
"Tagishsimon",5133,2154,31714411,2.383008356545961,"0","0",1,21430
"Pintoch",5029,1474,22033793,3.4118046132971505,"0","0",31,1434
"Louperibot",4924,1876,138856253,2.624733475479744,"1","0",,1130
"Crazy1880",4910,1599,143283577,3.0706691682301437,"0","0",23,4865
"Anthony59999",4893,331,118149100,14.782477341389727,"0","0",4,7550
"AndreCostaWMSE-bot",4880,301,50582653,16.21262458471761,"1","0",,11579
"Checkallthestrings bot",4860,2433,60071331,1.997533908754624,"1","0",,
"Abián",4850,2246,129558769,2.1593944790739092,"0","0",368,21431
"Fnielsen",4818,392,139198497,12.290816326530612,"0","0",1126,5933
"KRLS",4814,2823,142507928,1.7052780729720156,"0","0",8,4486
"CalakBot",4746,4381,137595532,1.0833143118009587,"1","0",,
"Pere prlpz",4745,976,141025128,4.861680327868853,"0","0",11,34729
"WTM",4665,2217,142781883,2.1041948579161027,"0","0",55,15815
"Beta16",4658,2626,150470620,1.7738004569687738,"0","0",1530,89
"Thibaut120094",4641,1874,113120385,2.476520811099253,"0","0",114,1814
"Thinkcontext",4615,2313,72915609,1.995244271508863,"0","0",3,41
"Yamaha5",4594,4201,140330595,1.093549154963104,"0","0",175,21510
"XXN",4581,3413,130294968,1.3422209200117199,"0","0",9,35569
"Cuenqui",4550,819,112411758,5.555555555555555,"0","0",,1203
"FutoohBot",4482,4482,741077,1,"0","0",,
"Petronas",4379,2341,135526645,1.8705681332763777,"0","0",4,86876
"Strakhov",4346,1342,86424495,3.238450074515648,"0","0",465,17478
"SourcererBot",4342,3157,69342391,1.375356350966107,"1","0",,
"Barcex",4213,1039,116747320,4.054860442733397,"0","0",56,3632
"Soulkeeper",4165,1355,149883184,3.07380073800738,"0","0",65,3150
"Beko",4137,1815,137740464,2.2793388429752066,"0","0",8,1885
"MilanBot",4116,3777,27315525,1.0897537728355837,"1","0",,
"Sic19",4066,679,57118412,5.988217967599411,"0","0",54,53288
"Docu",3953,2194,144555745,1.801731996353692,"0","0",302,9866
